"index","collection","packageId","granuleId","title","detailsLink","pdfLink","pdfSize","htmlLink","htmlSize","xmlLink","xmlSize","otherLink1","other1Size","otherLink2","other2Size","teaser","historical","publishdate"
"96","Compilation of Presidential Documents","DCPD-201900346","","Remarks Prior to a Meeting With Prime Minister Shinzo Abe of Japan and an Exchange With Reporters in Tokyo, Japan","https://www.govinfo.gov/app/details/DCPD-201900346","https://www.govinfo.gov/content/pkg/DCPD-201900346/pdf/DCPD-201900346.pdf","27.0 KB","https://www.govinfo.gov/content/pkg/DCPD-201900346/html/DCPD-201900346.htm","11.6 KB","","0 B","","0 B","","0 B"," May 27, 2019 Prime Minister Abe. Once again, welcome back to Japan, President Trump. With the enthronement of His Majesty the Emperor on the 1st of May, Japan had entered into the new era called Reiwa. Japan had experienced the abdication of His Majesty the Emperor Emeritus with the enthronement of His Majesty the Emperor for the first time in...","","2019-05-27"
"97","Congressional Bills","BILLS-118sres545is","","Recognizing the importance of trilateral cooperation among the United States, Japan, and South Korea.","https://www.govinfo.gov/app/details/BILLS-118sres545is","https://www.govinfo.gov/content/pkg/BILLS-118sres545is/pdf/BILLS-118sres545is.pdf","229.6 KB","https://www.govinfo.gov/content/pkg/BILLS-118sres545is/html/BILLS-118sres545is.htm","6.8 KB","","0 B","https://www.govinfo.gov/content/pkg/BILLS-118sres545is/xml/BILLS-118sres545is.xml","8.7 KB","","0 B",". IN THE SENATE OF THE UNITED STATES February 8 (legislative day, February 7), 2024 Mr. Sullivan (for himself, Mr. Van Hollen, Mrs. Shaheen, Mr. Merkley, Mr. Hagerty, Mr. Cornyn, Mr. Young, and Ms. Duckworth) submitted the following resolution; which was referred to the Committee on Foreign Relations RESOLUTION Recognizing the importance of ...","","2024-02-08"
"98","Compilation of Presidential Documents","DCPD-201600352","","Remarks Following a Meeting With Prime Minister Shinzo Abe of Japan and an Exchange With Reporters in Shima City, Japan","https://www.govinfo.gov/app/details/DCPD-201600352","https://www.govinfo.gov/content/pkg/DCPD-201600352/pdf/DCPD-201600352.pdf","64.5 KB","https://www.govinfo.gov/content/pkg/DCPD-201600352/html/DCPD-201600352.htm","20.5 KB","","0 B","","0 B","","0 B",", Japan May 25, 2016 Prime Minister Abe. At the very outset of our small-group discussion, I firmly lodged a protest against President Obama as the Japanese Prime Minister with regard to the most recent case in Okinawa. The entire time for the small group discussion was spent on this specific case in Okinawa. And I feel profound resentment against ...","","2016-05-25"
"99","Bulk Submission","GOVPUB-D5_400-PURL-gpo130139","","The Enduring Relevance of the U.S.-Japan Alliance","https://www.govinfo.gov/app/details/GOVPUB-D5_400-PURL-gpo130139","https://www.govinfo.gov/content/pkg/GOVPUB-D5_400-PURL-gpo130139/pdf/GOVPUB-D5_400-PURL-gpo130139.pdf","547.2 KB","","0 B","","0 B","","0 B","","0 B"," the Author Dr. James J. Przystup is a Senior Research Fellow in the Center for Strategic Research, Institute for National Strategic Studies, at the National Defense University. He dedicates this paper to William. Key Points ◆◆ �The U.S.-Japan relationship is multi- faceted in nature, with rich cultural and educational exchanges, market- based ...","","2019-01-01"
"100","Compilation of Presidential Documents","DCPD-202200440","","The President's News Conference With Prime Minister Fumio Kishida of Japan in Tokyo, Japan","https://www.govinfo.gov/app/details/DCPD-202200440","https://www.govinfo.gov/content/pkg/DCPD-202200440/pdf/DCPD-202200440.pdf","289.9 KB","https://www.govinfo.gov/content/pkg/DCPD-202200440/html/DCPD-202200440.htm","48.8 KB","","0 B","","0 B","","0 B"," Prime Minister Kishida. Well, thank you. We are immensely pleased with President Biden&#39;s first visit to Japan as the President of the United States. United States is Japan&#39;s only ally who shares universal values of freedom, democracy, human rights, and rule of law. It goes without saying that Japan-U.S. alliance is the linchpin of Japan...","","2022-05-23"
"101","Bulk Submission","GOVPUB-D101-PURL-LPS13443","","International Politics in Northeast Asia: The China-Japan-United States Strategic Triangle","https://www.govinfo.gov/app/details/GOVPUB-D101-PURL-LPS13443","https://www.govinfo.gov/content/pkg/GOVPUB-D101-PURL-LPS13443/pdf/GOVPUB-D101-PURL-LPS13443.pdf","2.4 MB","","0 B","","0 B","","0 B","","0 B"," in this report are those of the author and do not necessarily reflect the official policy or position of the Department of the Army, the Department of Defense, or the U.S. Government. This report is cleared for public release; distribution is unlimited. ******* Comments pertaining to this report are invited and should be forwarded to: ...","","1996-01-01"
"102","Congressional Record","CREC-2007-09-05","CREC-2007-09-05-pt1-PgH10091","RECOGNIZING THE STRONG SECURITY ALLIANCE BETWEEN JAPAN AND THE UNITED STATES","https://www.govinfo.gov/app/details/CREC-2007-09-05/CREC-2007-09-05-pt1-PgH10091","https://www.govinfo.gov/content/pkg/CREC-2007-09-05/pdf/CREC-2007-09-05-pt1-PgH10091.pdf","172.5 KB","https://www.govinfo.gov/content/pkg/CREC-2007-09-05/html/CREC-2007-09-05-pt1-PgH10091.htm","20.7 KB","","0 B","","0 B","","0 B"," the resolution (H. Res. 508) recognizing the strong security alliance between the Government of Japan and the United States and expressing appreciation to Japan for its role in enhancing stability in the Asia-Pacific region and its efforts in the global war against terrorism, as amended. The Clerk read the title of the resolution. The text of the...","","2007-09-05"
"103","Congressional Record","CREC-2016-09-07","CREC-2016-09-07-pt1-PgH5139","RECOGNIZING THE IMPORTANCE OF THE UNITED STATES-REPUBLIC OF KOREA-JAPAN TRILATERAL RELATIONSHIP","https://www.govinfo.gov/app/details/CREC-2016-09-07/CREC-2016-09-07-pt1-PgH5139","https://www.govinfo.gov/content/pkg/CREC-2016-09-07/pdf/CREC-2016-09-07-pt1-PgH5139.pdf","266.7 KB","https://www.govinfo.gov/content/pkg/CREC-2016-09-07/html/CREC-2016-09-07-pt1-PgH5139.htm","22.9 KB","","0 B","","0 B","","0 B"," agree to the resolution (H. Res. 634) recognizing the importance of the United States-Republic of Korea-Japan trilateral relationship to counter North Korean threats and nuclear proliferation, and to ensure regional security and human rights. The Clerk read the title of the resolution. The text of the resolution is as follows: H. Res. 634 ...","","2016-09-07"
"104","Bulk Submission","GOVPUB-D101-PURL-gpo130351","","The Russian Military in Contemporary Perspective","https://www.govinfo.gov/app/details/GOVPUB-D101-PURL-gpo130351","https://www.govinfo.gov/content/pkg/GOVPUB-D101-PURL-gpo130351/pdf/GOVPUB-D101-PURL-gpo130351.pdf","5.7 MB","","0 B","","0 B","","0 B","","0 B"," Army War College educates and develops leaders for service at the strategic level while advancing knowledge in the global application of Landpower. The purpose of the United States Army War College is to produce graduates who are skilled critical thinkers and complex problem solvers. Concurrently, it is our duty to the U.S. Army to also act as a “...","","2019-01-01"
"105","Congressional Serial Set","SERIALSET-04986_00_00-083-0294-0000","","Pay of Army officers stationed at Nagasaki, Japan. Letter from the Secretary of War, transmitting, with a communication from the Quartermaster General of the Army, a recommendation relating to the pay of Army officers stationed at Nagasaki, Japan. January 4, 1906. -- Referred to the Committee on Military Affairs and ordered to be printed;U.S. Congressional Serial Set No. 4986 - House Documents, Vol. 46","https://www.govinfo.gov/app/details/SERIALSET-04986_00_00-083-0294-0000","https://www.govinfo.gov/content/pkg/SERIALSET-04986_00_00-083-0294-0000/pdf/SERIALSET-04986_00_00-083-0294-0000.pdf","998178","","0 B","","0 B","https://www.govinfo.gov/content/pkg/SERIALSET-04986_00_00-083-0294-0000/thumbnails/SERIALSET-04986_00_00-083-0294-0000-0417.gif","10.0 KB","","0 B"," OF WAR, TRANSMITTING, WITH A COMMUNICATION FROM THE QUARTERMASTER-GENERAL OF THE ARMY, A RECOMMENDATION RELATING TO THE PAY OF ARMY OFFICERS STATIONED AT NAGASAKI, JAPAN. January 4, 1906.—Referred to the Committee on Military Affairs and ordered to be printed. War Department, Washington, December 23, 1905. Sir : I have the honor to transmit ...","","1906-01-04"
"106","Congressional Record","CREC-2012-09-21","CREC-2012-09-21-pt1-PgE1628-4","U.S. POW DELEGATION TO JAPAN, OCTOBER 12-21, 2012","https://www.govinfo.gov/app/details/CREC-2012-09-21/CREC-2012-09-21-pt1-PgE1628-4","https://www.govinfo.gov/content/pkg/CREC-2012-09-21/pdf/CREC-2012-09-21-pt1-PgE1628-4.pdf","285.8 KB","https://www.govinfo.gov/content/pkg/CREC-2012-09-21/html/CREC-2012-09-21-pt1-PgE1628-4.htm","14.6 KB","","0 B","","0 B","","0 B"," Mr. HONDA. Mr. Speaker, I rise today on National POW/MIA Recognition Day to honor prisoners of war from America's greatest generation and thank the Government of Japan for recognizing the sacrifices these men have made for peace. On October 12, seven former members of the U.S. Army, Army Air Corps, Air Force, Marines, and Navy who fought in the ...","","2012-09-21"
"107","Compilation of Presidential Documents","WCPD-1997-05-05","WCPD-1997-05-05-Pg587","The President's News Conference With Prime Minister Ryutaro Hashimoto of Japan","https://www.govinfo.gov/app/details/WCPD-1997-05-05/WCPD-1997-05-05-Pg587","https://www.govinfo.gov/content/pkg/WCPD-1997-05-05/pdf/WCPD-1997-05-05-Pg587.pdf","69.1 KB","https://www.govinfo.gov/content/pkg/WCPD-1997-05-05/html/WCPD-1997-05-05-Pg587.htm","52.7 KB","","0 B","","0 B","","0 B"," begin the discussion of my meetings with the Prime Minister, let me say that I have just come from signing the instrument of ratification to the Chemical Weapons Convention, along with the Vice President and the Secretary of State and others who worked very hard for it. Last night's strong bipartisan vote in the Senate will keep our soldiers and ...","","1997-04-25"
"108","Public Papers of the Presidents of the United States","PPP-2016-book1","PPP-2016-book1-doc-pg657","Remarks Following a Meeting With Prime Minister Shinzo Abe of Japan and an Exchange With Reporters in Shima City, Japan","https://www.govinfo.gov/app/details/PPP-2016-book1/PPP-2016-book1-doc-pg657","https://www.govinfo.gov/content/pkg/PPP-2016-book1/pdf/PPP-2016-book1-doc-pg657.pdf","147.5 KB","","0 B","https://www.govinfo.gov/content/pkg/PPP-2016-book1/xml/PPP-2016-book1-doc-pg657.xml","147.5 KB","","0 B","","0 B"," 25, 2016 Prime Minister Abe. At the very outset of our small-group discussion, I firmly lodged a protest against President Obama as the Japanese Prime Minister with regard to the most recent case in Okinawa. The entire time for the small-group discussion was spent on this specific case in Okinawa. And I feel profound resentment against this ...","","2016-05-25"
"109","Congressional Record","CREC-1995-01-23","CREC-1995-01-23-pt1-PgS1367-2","REPORT OF DISASTER ASSISTANCE TO JAPAN--MESSAGE FROM THE PRESIDENT--PM 2","https://www.govinfo.gov/app/details/CREC-1995-01-23/CREC-1995-01-23-pt1-PgS1367-2","https://www.govinfo.gov/content/pkg/CREC-1995-01-23/pdf/CREC-1995-01-23-pt1-PgS1367-2.pdf","143.3 KB","https://www.govinfo.gov/content/pkg/CREC-1995-01-23/html/CREC-1995-01-23-pt1-PgS1367-2.htm","1.7 KB","","0 B","","0 B","","0 B","President of the United States, together with an accompanying report; which was referred to the Committee on Armed Services: To the Congress of the United States: I have directed the Secretary of Defense to provide appropriate disaster assistance to the Government of Japan in response to the devastating earthquake of January 17, 1995. As required ...","","1995-01-23"
"110","Compilation of Presidential Documents","WCPD-2006-07-03","WCPD-2006-07-03-Pg1242","The President's News Conference With Prime Minister Junichiro Koizumi of Japan","https://www.govinfo.gov/app/details/WCPD-2006-07-03/WCPD-2006-07-03-Pg1242","https://www.govinfo.gov/content/pkg/WCPD-2006-07-03/pdf/WCPD-2006-07-03-Pg1242.pdf","59.9 KB","https://www.govinfo.gov/content/pkg/WCPD-2006-07-03/html/WCPD-2006-07-03-Pg1242.htm","21.8 KB","","0 B","","0 B","","0 B",". Mr. Prime Minister, as I said on the South Lawn, we are delighted to have you here in Washington. The Prime Minister and I have got a very friendly relationship. We've just had 2 hours of discussions. We talked about a lot of areas of mutual concern. I've reminded the Prime Minister--the American people, Mr. Prime Minister, over the past ...","","2006-06-29"
"111","Compilation of Presidential Documents","WCPD-1999-05-10","WCPD-1999-05-10-Pg785-2","Remarks at a Welcoming Ceremony for Prime Minister Keizo Obuchi of Japan","https://www.govinfo.gov/app/details/WCPD-1999-05-10/WCPD-1999-05-10-Pg785-2","https://www.govinfo.gov/content/pkg/WCPD-1999-05-10/pdf/WCPD-1999-05-10-Pg785-2.pdf","15.2 KB","https://www.govinfo.gov/content/pkg/WCPD-1999-05-10/html/WCPD-1999-05-10-Pg785-2.htm","3.1 KB","","0 B","","0 B","","0 B"," delegation, my fellow Americans. Mr. Prime Minister, we welcome you to America and to the White House, and to greet you in the spring when the cherry blossoms every year remind us of the generosity and friendship of the Japanese people. The cherry blossoms--or in Japanese, sakura--have made it through changing times, environmental ...","","1999-05-03"
"112","Compilation of Presidential Documents","WCPD-2006-07-03","WCPD-2006-07-03-Pg1240-3","Remarks at a Welcoming Ceremony for Prime Minister Junichiro Koizumi of Japan","https://www.govinfo.gov/app/details/WCPD-2006-07-03/WCPD-2006-07-03-Pg1240-3","https://www.govinfo.gov/content/pkg/WCPD-2006-07-03/pdf/WCPD-2006-07-03-Pg1240-3.pdf","49.0 KB","https://www.govinfo.gov/content/pkg/WCPD-2006-07-03/html/WCPD-2006-07-03-Pg1240-3.htm","5.6 KB","","0 B","","0 B","","0 B"," welcome--are proud to welcome [[Page 1241]] and honored to welcome our friend Prime Minister Koizumi back to the White House. Japan and the United States have built a strong alliance and a close friendship. Decades ago, our two fathers looked across the Pacific and saw adversaries, uncertainty, and war. Today, their sons look across that same ...","","2006-06-29"
"113","Congressional Serial Set","SERIALSET-04989_00_00-084-0678-0000","","Decorations from the Emperor of Japan for certain officers of the Army. Letter from the Secretary of State, submitting a request that certain officers of the Army be authorized to accept decorations from the Emperor of Japan. April 4, 1906. -- Referred to the Committee on Foreign Affairs and ordered to be printed;U.S. Congressional Serial Set No. 4989 - House Documents, Vol. 49","https://www.govinfo.gov/app/details/SERIALSET-04989_00_00-084-0678-0000","https://www.govinfo.gov/content/pkg/SERIALSET-04989_00_00-084-0678-0000/pdf/SERIALSET-04989_00_00-084-0678-0000.pdf","643635","","0 B","","0 B","https://www.govinfo.gov/content/pkg/SERIALSET-04989_00_00-084-0678-0000/thumbnails/SERIALSET-04989_00_00-084-0678-0000-0518.gif","9.9 KB","","0 B"," FROM THE SECRETARY OF STATE, SUBMITTING A REQUEST THAT CERTAIN OFFICERS OF THE ARMY BE AU- THORIZED TO ACCEPT DECORATIONS FROM THE EMPEROR OF JAPAN. APRIL 4, 1906.—Referred to the Committee on Foreign Affairs and ordered to be printed. DEPARTMENT OF STATE, Washington, April 2, 1906. Sir: In accordance with the provisions of the act approved ...","","1906-04-04"
"114","Congressional Bills","BILLS-105sres216is","","Expressing the sense of the Senate regarding Japan's difficult economic condition.","https://www.govinfo.gov/app/details/BILLS-105sres216is","https://www.govinfo.gov/content/pkg/BILLS-105sres216is/pdf/BILLS-105sres216is.pdf","143.4 KB","https://www.govinfo.gov/content/pkg/BILLS-105sres216is/html/BILLS-105sres216is.htm","8.1 KB","","0 B","","0 B","","0 B","STATES April 24, 1998 Mr. Lieberman (for himself, Mr. Lugar, Mr. Graham, Mr. Brownback, Mr. Bingaman, and Mr. Rockefeller) submitted the following resolution; which was referred to the Committee on Foreign Relations RESOLUTION Expressing the sense of the Senate regarding Japan's difficult economic condition. Whereas the United States and Japan ...","","1998-04-24"
"115","Bulk Submission","GOVPUB-D5_400-PURL-LPS82553","","Visions of Order: Japan and China in U.S. Strategy","https://www.govinfo.gov/app/details/GOVPUB-D5_400-PURL-LPS82553","https://www.govinfo.gov/content/pkg/GOVPUB-D5_400-PURL-LPS82553/pdf/GOVPUB-D5_400-PURL-LPS82553.pdf","374.3 KB","","0 B","","0 B","","0 B","","0 B"," has articulated two conceptual approaches to this challenge, one centered on Japan and the other on China. The first approach, associated with former Deputy Secretary of State Richard Armitage, emphasizes Japan’s potential role as a global partner. Armitage begins with the U.S.-Japan partnership and works outward to the regional and global ...","","2006-01-01"
"116","Bulk Submission","GOVPUB-D5-PURL-LPS22906","","The United States and Japan: Advancing Toward a Mature Partnership","https://www.govinfo.gov/app/details/GOVPUB-D5-PURL-LPS22906","https://www.govinfo.gov/content/pkg/GOVPUB-D5-PURL-LPS22906/pdf/GOVPUB-D5-PURL-LPS22906.pdf","299.4 KB","","0 B","","0 B","","0 B","","0 B","partnership. It is not a political document and reflects the views of the study group mem- bers only. This is solely an attempt by the group to inject consistency and strategic direction into what it believes is our essen- tial Asian relationship. The study group consisted of Richard L. Armitage, Armitage and Associates; Dan E. Bob, Office of ...","","2000-01-01"
"117","Government Accountability Office Reports and Comptroller General Decisions","GAOREPORTS-NSIAD-97-76","","U.S.-Japan Fighter Aircraft: Agreement on F-2 Production","https://www.govinfo.gov/app/details/GAOREPORTS-NSIAD-97-76","https://www.govinfo.gov/content/pkg/GAOREPORTS-NSIAD-97-76/pdf/GAOREPORTS-NSIAD-97-76.pdf","244.0 KB","https://www.govinfo.gov/content/pkg/GAOREPORTS-NSIAD-97-76/html/GAOREPORTS-NSIAD-97-76.htm","51.8 KB","","0 B","","0 B","","0 B"," of production work that will be done in the United
States and how the U.S. workshare will be calculated and monitored; (2)
status of technology transfers from Japan to the United States and
whether these technologies are of interest to the U.S. government and
industry; and (3) program's potential contributions to Japan's future
aerospace ...","","1997-02-11"
"118","Compilation of Presidential Documents","WCPD-1996-04-22","WCPD-1996-04-22-Pg668","The President's News Conference With Prime Minister Ryutaro Hashimoto of Japan in Tokyo","https://www.govinfo.gov/app/details/WCPD-1996-04-22/WCPD-1996-04-22-Pg668","https://www.govinfo.gov/content/pkg/WCPD-1996-04-22/pdf/WCPD-1996-04-22-Pg668.pdf","39.4 KB","https://www.govinfo.gov/content/pkg/WCPD-1996-04-22/html/WCPD-1996-04-22-Pg668.htm","26.6 KB","","0 B","","0 B","","0 B"," front of you, I and President Clinton signed two documents. One is the message to the peoples of Japan and the United States that lays down the direction in which the two countries should, together, proceed toward the 21st century. And the second is the Japan-U.S. Declaration on Security. The message to the peoples of Japan and the United States ...","","1996-04-17"
"119","Congressional Record","CREC-1995-06-26","CREC-1995-06-26-pt1-PgS9104","INCREASING PARTICIPATION OF UNITED STATES-FLAG VESSELS IN UNITED STATES-JAPAN TRADE","https://www.govinfo.gov/app/details/CREC-1995-06-26/CREC-1995-06-26-pt1-PgS9104","https://www.govinfo.gov/content/pkg/CREC-1995-06-26/pdf/CREC-1995-06-26-pt1-PgS9104.pdf","149.7 KB","https://www.govinfo.gov/content/pkg/CREC-1995-06-26/html/CREC-1995-06-26-pt1-PgS9104.htm","3.6 KB","","0 B","","0 B","","0 B"," autoparts, much has been said about how our domestic companies have been denied a chance to compete in Japan on the basis of quality and price. I rise today to describe to my colleagues a similar problem faced by United States companies seeking to enter the trade carrying automobiles between Japan and the United States under the United States ...","","1995-06-26"
"120","Congressional Hearings","CHRG-112shrg88763","CHRG-112shrg88763","Review of the Nuclear Emergency in Japan and Implications for the United States","https://www.govinfo.gov/app/details/CHRG-112shrg88763/CHRG-112shrg88763","https://www.govinfo.gov/content/pkg/CHRG-112shrg88763/pdf/CHRG-112shrg88763.pdf","10.0 MB","https://www.govinfo.gov/content/pkg/CHRG-112shrg88763/html/CHRG-112shrg88763.htm","292.7 KB","","0 B","","0 B","","0 B"," NUCLEAR SAFETY AND THE COMMITTEE ON ENVIRONMENT AND PUBLIC WORKS UNITED STATES SENATE ONE HUNDRED TWELFTH CONGRESS FIRST SESSION APRIL 12, 2011 Printed for the use of the Senate Committee on Environment and Public Works Available via the World Wide Web: http://www.fdsys.gpo.gov U.S. GOVERNMENT PUBLISHING OFFICE 88-763 PDF WASHINGTON : 2015 For ...","","2011-04-12"
"121","Congressional Bills","BILLS-118hres1056eh","","Recognizing the importance of trilateral cooperation among the United States, Japan, and South Korea.","https://www.govinfo.gov/app/details/BILLS-118hres1056eh","https://www.govinfo.gov/content/pkg/BILLS-118hres1056eh/pdf/BILLS-118hres1056eh.pdf","106.9 KB","https://www.govinfo.gov/content/pkg/BILLS-118hres1056eh/html/BILLS-118hres1056eh.htm","6.1 KB","","0 B","https://www.govinfo.gov/content/pkg/BILLS-118hres1056eh/xml/BILLS-118hres1056eh.xml","8.4 KB","","0 B"," for the first time since 2019 with President Yoon Suk Yeol and Prime Minister Kishida Fumio meeting seven times; Whereas the two sides have made efforts to address longstanding historical grievances, including the issue of South Koreans forced to work for Japanese companies during World War II; Whereas the Governments of Japan and South Korea ...","","2024-09-09"
"122","Compilation of Presidential Documents","DCPD-200900915","","Remarks in Tokyo, Japan","https://www.govinfo.gov/app/details/DCPD-200900915","https://www.govinfo.gov/content/pkg/DCPD-200900915/pdf/DCPD-200900915.pdf","63.1 KB","https://www.govinfo.gov/content/pkg/DCPD-200900915/html/DCPD-200900915.htm","32.7 KB","","0 B","","0 B","","0 B",". It is a great honor to be in Tokyo, the first stop on my first visit to Asia as President of the United States. And it is good to be&mdash;[ applause ]. Thank you. It is good to be among so many of you&mdash;Japanese and I see a few Americans here&mdash;who work every day to strengthen the bonds between our two countries, including my longtime ...","","2009-11-14"
"123","Congressional Record","CREC-2020-12-08","CREC-2020-12-08-pt1-PgE1110-3","HONORING THE U.S.-JAPAN ALLIANCE AND CELEBRATING OUR JAPANESE AMERICAN COMMUNITY","https://www.govinfo.gov/app/details/CREC-2020-12-08/CREC-2020-12-08-pt1-PgE1110-3","https://www.govinfo.gov/content/pkg/CREC-2020-12-08/pdf/CREC-2020-12-08-pt1-PgE1110-3.pdf","278.4 KB","https://www.govinfo.gov/content/pkg/CREC-2020-12-08/html/CREC-2020-12-08-pt1-PgE1110-3.htm","5.6 KB","","0 B","","0 B","","0 B",", December 8, 2020 Mr. CASE. Madam Speaker, I rise today to honor the alliance between the United States and Japan and celebrate the extraordinary contributions of Japanese Americans across our country, especially in my home state of Hawaii. Seventy-five years ago, the Second World War finally ended when Japanese and Allied representatives signed ...","","2020-12-08"
"124","Congressional Record","CREC-2024-04-11","CREC-2024-04-11-pt1-PgH2294-4","JOINT MEETING TO HEAR AN ADDRESS BY HIS EXCELLENCY KISHIDA FUMIO, PRIME MINISTER OF JAPAN","https://www.govinfo.gov/app/details/CREC-2024-04-11/CREC-2024-04-11-pt1-PgH2294-4","https://www.govinfo.gov/content/pkg/CREC-2024-04-11/pdf/CREC-2024-04-11-pt1-PgH2294-4.pdf","300.6 KB","https://www.govinfo.gov/content/pkg/CREC-2024-04-11/html/CREC-2024-04-11-pt1-PgH2294-4.htm","17.1 KB","","0 B","","0 B","","0 B"," by the Speaker at 10 o'clock and 47 minutes a.m. The Assistant Sergeant at Arms, Ms. Kathleen Joyce, announced the Vice President and Members of the U.S. Senate, who entered the Hall of the House of Representatives, the Vice President taking the chair at the right of the Speaker, and the Members of the Senate the seats reserved for them. The ...","","2024-04-11"
"125","Congressional Serial Set","SERIALSET-05377_00_00-033-0239-0000","","Oliver E. Wood to accept decoration and medals from Emperor of Japan. Letter from the Acting Secretary of State, asking that Brig. Gen. Oliver E. Wood, U.S. Army, retired, be permitted to accept a decoration and war medals from the Emperor of Japan. December 9, 1907. -- Referred to the Committee on Foreign Affairs and ordered to be printed;U.S. Congressional Serial Set No. 5377 - House Documents, Vol. 108","https://www.govinfo.gov/app/details/SERIALSET-05377_00_00-033-0239-0000","https://www.govinfo.gov/content/pkg/SERIALSET-05377_00_00-033-0239-0000/pdf/SERIALSET-05377_00_00-033-0239-0000.pdf","379842","","0 B","","0 B","https://www.govinfo.gov/content/pkg/SERIALSET-05377_00_00-033-0239-0000/thumbnails/SERIALSET-05377_00_00-033-0239-0000-0438.gif","9.2 KB","","0 B","L E T T E E FROM THE ACTING SECRETARY OF STATE, ASKING THAT BRIG. GEN. OLIVER E. WOOD, U. S. ARMY, RETIRED, BE PERMITTED TO ACCEPT A DECORATION AND WAR MEDALS FROM THE EMPEROR OF JAPAN. December 9, 1907.—Referred to the Committee on Foreign Affairs and ordered to be printed. Department or State, Washington, December 6, 1907. Sir : In accordance ...","","1907-12-09"
"126","Congressional Serial Set","SERIALSET-11525_00_00-070-0179-0000","","Third semiannual report to Congress on the Mutual Defense Assistance Program. Message from the President of the United States transmitting the third semiannual report on the Mutual Defense Assistance Program covering the period from October 6, 1950, to March 31, 1951, pursuant to Public Law 329, Eighty-first Congress. June 25, 1951. -- Referred to the Committee on Foreign Affairs and ordered to be printed;U.S. Congressional Serial Set No. 11525 - House Documents, Vol. 11","https://www.govinfo.gov/app/details/SERIALSET-11525_00_00-070-0179-0000","https://www.govinfo.gov/content/pkg/SERIALSET-11525_00_00-070-0179-0000/pdf/SERIALSET-11525_00_00-070-0179-0000.pdf","30207165","","0 B","","0 B","https://www.govinfo.gov/content/pkg/SERIALSET-11525_00_00-070-0179-0000/thumbnails/SERIALSET-11525_00_00-070-0179-0000-0887.gif","8.4 KB","","0 B"," OF THE UNITED STATES TRANSMITTING THE THIRD SEMIANNUAL REPORT ON THE MUTUAL DEFENSE ASSISTANCE PROGRAM COVERING THE PERIOD FROM OCTOBER 6, 1950, TO MARCH 31, 1951, PURSUANT TO PUBLIC LAW 329, EIGHTY-FIRST CONGRESS JUNE 25, 1951.—Referred to the Committee on Foreign Affairs and ordered to be printed UNITED STATES GOVERNMENT PRINTING OFFICE 85544...","","1951-06-25"
"127","Congressional Record","CREC-1995-09-06","CREC-1995-09-06-pt1-PgS12746-2","COMMEMORATION OF THE 50TH ANNIVERSARY OF THE FORMAL SURRENDER OF THE EMPIRE OF JAPAN","https://www.govinfo.gov/app/details/CREC-1995-09-06/CREC-1995-09-06-pt1-PgS12746-2","https://www.govinfo.gov/content/pkg/CREC-1995-09-06/pdf/CREC-1995-09-06-pt1-PgS12746-2.pdf","188.9 KB","https://www.govinfo.gov/content/pkg/CREC-1995-09-06/html/CREC-1995-09-06-pt1-PgS12746-2.htm","13.3 KB","","0 B","","0 B","","0 B"," of the 50th anniversary of the formal surrender of the Empire of Japan and the end of World War II. Mr. President, September 2, 1995, marked the day, 50 years ago, that the Empire of Japan signed documents of surrender aboard the U.S.S. Missouri in Tokyo Bay, formally ending World War II. It is fitting that America commemorated the anniversary ...","","1995-09-06"
"128","Congressional Record","CREC-2024-09-09","CREC-2024-09-09-pt1-PgH5085","RECOGNIZING THE IMPORTANCE OF TRILATERAL COOPERATION AMONG THE UNITED STATES, JAPAN, AND SOUTH KOREA","https://www.govinfo.gov/app/details/CREC-2024-09-09/CREC-2024-09-09-pt1-PgH5085","https://www.govinfo.gov/content/pkg/CREC-2024-09-09/pdf/CREC-2024-09-09-pt1-PgH5085.pdf","252.0 KB","https://www.govinfo.gov/content/pkg/CREC-2024-09-09/html/CREC-2024-09-09-pt1-PgH5085.htm","13.9 KB","","0 B","","0 B","","0 B"," rules and agree to the resolution (H. Res. 1056) recognizing the importance of trilateral cooperation among the United States, Japan, and South Korea. The Clerk read the title of the resolution. The text of the resolution is as follows: H. Res. 1056 Whereas, in 2023, South Korea and Japan restarted bilateral summitry for the first time since ...","","2024-09-09"
"129","History of Bills","HOB-1989","HOB-1989-sres204","Resolution to express the Senate's concern over bid rigging activities at United States military bases in Japan, and to encourage the Departments of Defense, State, and Justice to continue their efforts to end these pursuits","https://www.govinfo.gov/app/details/HOB-1989/HOB-1989-sres204","","0 B","https://www.govinfo.gov/content/pkg/HOB-1989/html/HOB-1989-sres204.htm","406.0 B","","0 B","","0 B","","0 B"," S. Res. 204--Resolution to express the Senate's concern over bid rigging activities at United States military bases in Japan, and to encourage the Departments of Defense, State, and Justice to continue their efforts to end these pursuits; to the Committee on Foreign Relations. By Mr. MURKOWSKI Reported (no written report) ...","","1989-12-31"
